Material,Purchase Order,Posting Date,Tons Received
61509,68000498,2020-02-06,17.95465
61580,68000503,2020-02-06,4.534208
61591,68000503,2020-02-06,142.564128
61592,68000503,2020-02-06,55.481104
61912,68000497,2020-02-06,11.694565
61913,68000497,2020-02-06,7.563616
61913,68000497,2020-02-06,17.095069
62051,68000500,2020-02-06,15.092025
62060,68000503,2020-02-06,76.36272
61031,68000490,2020-02-10,16.495752
61047,68000493,2020-02-10,6.813495
61139,68000493,2020-02-10,14.073675
61341,68000493,2020-02-10,2.38914
61440,68000493,2020-02-10,43.326075
61564,68000493,2020-02-10,3.325959
18193,68000499,2020-02-11,15.18
37811,68000499,2020-02-11,20.812
37811,68000499,2020-02-11,33.172
50666,68000499,2020-02-11,42.989
50666,68000499,2020-02-11,3.284
60137,68000499,2020-02-11,74.705
60137,68000499,2020-02-11,9.364
60137,68000499,2020-02-11,18.604
60205,68000499,2020-02-11,128.419
60232,68000489,2020-02-11,12.067
60720,68000499,2020-02-11,75.804
60720,68000499,2020-02-11,34.547
60810,68000499,2020-02-11,17.929
60810,68000499,2020-02-11,14.772
60810,68000499,2020-02-11,35.857
60811,68000499,2020-02-11,17.424
61031,68000496,2020-02-11,18.958485
61055,68000496,2020-02-11,70.072548
61115,68000496,2020-02-11,2.669667
61115,68000496,2020-02-11,5.273675
61375,68000496,2020-02-11,5.598684
61492,68000490,2020-02-11,8.900287
61492,68000496,2020-02-11,9.334119
61492,68000496,2020-02-11,6.265291
61541,68000496,2020-02-11,5.814187
61563,68000496,2020-02-11,6.164886
61610,68000496,2020-02-11,17.678527
61610,68000496,2020-02-11,7.558913
61660,68000499,2020-02-11,33.547
61783,69000516,2020-02-11,2.704
61014,68000493,2020-02-12,2.76794
61084,68000502,2020-02-12,211.033809
61084,68000502,2020-02-12,19.895736
61084,68000502,2020-02-12,16.886807
61090,68000502,2020-02-12,37.132914
61090,68000502,2020-02-12,18.17634
61940,68000494,2020-02-12,5.593532
61016,68000496,2020-02-13,6.46527
61031,68000490,2020-02-13,55.394157
61083,68000504,2020-02-13,70.020188
61083,68000504,2020-02-13,46.509841
61083,68000504,2020-02-13,139.521312
61083,68000504,2020-02-13,229.6182
61084,68000504,2020-02-13,172.573324
61084,68000504,2020-02-13,255.736103
61084,68000504,2020-02-13,12.5193439
61085,68000504,2020-02-13,266.05515
61089,68000504,2020-02-13,227.813313
61090,68000504,2020-02-13,156.337545
61092,68000504,2020-02-13,98.014336
61092,68000504,2020-02-13,246.507744
61093,68000504,2020-02-13,143.364928
61093,68000504,2020-02-13,200.946704
61094,68000504,2020-02-13,158.19055
