Bill. Date,Purchase Order,Material, Unit price,Tons Invoiced
2020-06-15,68000527,60136,519.28,44.867
2020-06-15,68000527,62070,519.28,36.543
2020-06-15,68000527,61662,519.28,117.628
2020-06-15,68000527,61711,519.28,96.398
2020-06-15,68000527,62131,519.28,58.957
2020-06-15,68000527,61731,718.84,18.073
2020-06-16,68000526,61970,1029.65,25.685
2020-06-16,68000526,62102,1029.65,26.945
2020-04-20,68000524,61931,5.16,39.475189
2020-04-20,68000524,61083,8.62,309.451821
2020-04-20,68000524,61084,8.62,220.292114
2020-04-20,68000524,61085,10.87,175.4226
2020-04-20,68000524,62020,10.87,249.341705
2020-04-20,68000524,61095,7.84,124.505486
2020-04-20,68000524,61085,10.87,2.838635
2020-05-04,68000524,61090,14.48,98.306754
2020-05-04,68000524,61092,5.56,198.207184
2020-05-04,68000524,61093,5.56,221.802896
2020-05-04,68000524,61094,7.84,161.195454
2020-05-29,68000522,61970,1029.65,52.086
2020-05-29,68000522,62100,1029.65,22.687
2020-05-29,68000522,62101,1029.65,47.84
2020-05-29,68000522,62102,1029.65,51.26
2020-04-27,68000521,61051,12.78,9.4241
2020-04-27,68000521,61055,19.54,21.383544
2020-04-06,68000521,61862,5.22,17.427946
2020-04-20,68000521,61041,14.62,56.004039
2020-04-20,68000521,61293,7.18,13.064518
2020-04-20,68000521,61046,7.18,2.693992
2020-04-20,68000521,61440,9.59,2.808195
2020-04-20,68000521,61055,19.54,7.689864
2020-04-13,68000521,61041,14.62,7.030296
2020-04-13,68000521,61293,7.18,39.03821
2020-04-13,68000521,61046,7.18,27.755914
2020-04-13,68000521,61440,9.59,22.55565
2020-05-18,68000521,61293,7.18,8.796646
2020-04-21,68000520,61591,5.62,78.343216
2020-04-21,68000520,61580,5.62,18.83896
2020-04-21,68000520,61592,5.62,18.899104
2020-04-06,68000520,61591,5.62,77.254016
2020-04-06,68000520,61580,5.62,49.610176
2020-04-06,68000520,62060,5.62,44.619008
2020-04-06,68000520,61592,5.62,2.694272
2020-04-21,68000520,61591,5.62,77.6384
2020-04-21,68000520,62060,5.62,2.54912
2020-04-21,68000520,61592,5.62,53.315696
2020-04-21,68000520,61591,5.62,58.594256
2020-04-21,68000520,61592,5.62,56.41384
2020-04-06,68000520,61591,5.62,56.12768
2020-04-06,68000520,61580,5.62,18.957008
2020-04-06,68000520,62060,5.62,99.08752
2020-04-21,68000520,61591,5.62,38.741248
2020-04-21,68000520,61580,5.62,37.165072
2020-04-21,68000520,61592,5.62,18.468464
2020-04-21,68000520,61591,5.62,58.593808
2020-04-21,68000520,61592,5.62,18.777024
2020-04-21,68000520,61591,5.62,39.398352
2020-04-21,68000520,61580,5.62,18.453008
2020-04-21,68000520,61592,5.62,18.843888
2020-04-13,68000520,61591,5.62,62.485696
2020-04-13,68000520,61580,5.62,44.521568
2020-04-13,68000520,62060,5.62,2.470608
2020-04-13,68000520,61592,5.62,16.134608
2020-04-13,68000520,61316,7.91,19.404525
2020-04-13,68000520,62050,7.91,21.188083
2020-04-13,68000520,61591,5.62,67.128656
2020-04-13,68000520,61580,5.62,9.443616
2020-04-13,68000520,62060,5.62,29.730624
2020-04-13,68000520,61592,5.62,18.736816
2020-04-13,68000520,61316,7.91,39.349205
2020-04-13,68000520,62050,7.91,21.288225
2020-04-21,68000519,61500,8.53,47.956265
2020-04-21,68000519,61001,8.53,25.975418
2020-04-21,68000519,61502,13.32,2.689606
2020-04-21,68000519,61500,8.53,56.26306
2020-04-21,68000519,61001,8.53,26.019854
2020-04-21,68000519,61502,13.32,7.968996
2020-04-21,68000519,61512,13.32,5.773928
2020-04-21,68000519,61500,8.53,72.059575
2020-04-21,68000519,61001,8.53,43.073135
2020-04-21,68000519,61500,8.53,13.366059
2020-04-21,68000519,61001,8.53,25.853219
2020-04-21,68000519,61500,8.53,29.510495
2020-04-21,68000519,61001,8.53,49.044464
2020-04-21,68000519,61502,13.32,37.21354
2020-04-21,68000519,61500,8.53,32.096316
2020-04-21,68000519,61001,8.53,11.383988
2020-04-21,68000519,61502,13.32,13.300964
2020-05-04,68000518,61661,519.28,24.912
2020-05-04,68000518,53265,519.28,49.993
2020-05-04,68000518,60136,519.28,24.545
2020-05-04,68000518,62070,519.28,195.402
2020-05-04,68000518,61662,519.28,22.239
2020-05-04,68000518,60811,519.28,40.576
2020-05-06,68000518,60232,596.43,95.299
2020-05-06,68000518,60720,519.28,72.767
2020-05-06,68000518,60205,519.28,51.667
2020-05-06,68000518,61203,519.28,114.491
2020-05-06,68000518,61053,718.84,30.616
2020-05-04,68000518,61080,596.43,49.89
2020-05-04,68000518,61660,519.28,49.237
2020-05-04,68000518,60720,519.28,64.627
2020-05-04,68000518,60205,519.28,8.541
2020-05-04,68000518,61203,519.28,6.049
2020-05-04,68000518,60810,519.28,49.388
2020-05-04,68000518,60137,519.28,48.537
2020-05-04,68000518,62070,519.28,3.261
2020-05-04,68000518,60811,519.28,8.757
2020-05-04,68000518,60139,519.28,57.577
2020-06-02,68000518,60232,596.43,2.983
2020-06-02,68000518,61660,519.28,2.39
2020-06-02,68000518,60205,519.28,88.632
2020-06-02,68000518,61203,519.28,27.908
2020-06-02,68000518,61662,519.28,2.454
2020-06-02,68000518,61731,718.84,51.884
2020-06-02,68000518,62110,738.84,49.568
2020-06-02,68000518,61053,718.84,20.589
2020-06-02,68000518,62110,738.84,32.112
2020-04-20,68000517,62040,5.16,77.760859
2020-04-13,68000516,61862,5.22,44.958297
2020-04-13,68000516,61940,5.22,8.101291
2020-04-13,68000516,61941,5.22,6.191234
2020-04-13,68000516,61566,9.11,27.03714
2020-04-13,68000516,61014,9.11,25.2552
2020-05-29,68000516,61283,5.62,2.711744
2020-05-29,68000516,61047,9.59,7.764705
2020-05-29,68000516,61440,9.59,5.98494
2020-05-29,68000516,61047,9.59,4.09578
2020-04-27,68000516,61862,5.22,15.211655
2020-04-27,68000516,61031,14.62,27.368523
2020-04-27,68000516,61233,14.62,47.458593
2020-04-27,68000516,61041,14.62,81.467841
2020-04-27,68000516,61047,9.59,14.56611
2020-04-20,68000516,61580,5.62,53.999904
2020-04-20,68000516,61293,7.18,41.0114
2020-04-20,68000516,61045,7.18,36.5876
2020-04-20,68000516,61580,5.62,2.269568
2020-05-11,68000516,61276,5.62,2.529408
2020-05-11,68000516,61283,5.62,10.870608
2020-05-11,68000516,61047,9.59,45.093165
2020-05-11,68000516,61047,9.59,35.781525
2020-05-11,68000516,61047,9.59,2.425605
2020-05-04,68000516,61031,14.62,152.511723
2020-05-04,68000516,61047,9.59,38.23326
2020-04-06,68000516,61891,5.22,
